match_id,match_date,tournament,stage,is_knockout,team_a,team_b,team_a_squad_value,team_b_squad_value,squad_value_diff,target_result_90m,team_a_elo,team_b_elo,elo_diff,team_a_fifa_rank,team_b_fifa_rank,fifa_rank_diff,team_a_last5_points,team_b_last5_points,last5_points_diff,team_a_last5_goals_for,team_b_last5_goals_for,goals_for_diff,team_a_last5_goals_against,team_b_last5_goals_against,goals_against_diff,team_a_last5_goal_diff,team_b_last5_goal_diff,last5_goal_diff_gap,team_a_rest_days,team_b_rest_days,rest_days_diff,confederation_a,confederation_b,confederation_pair,same_confederation_flag,team_a_top11_avg_rating_last5,team_b_top11_avg_rating_last5,top11_rating_diff,team_a_top11_avg_minutes_last5,team_b_top11_avg_minutes_last5,top11_minutes_diff,team_a_attack_core_form_score,team_b_attack_core_form_score,attack_core_form_diff,team_a_gk_form_score,team_b_gk_form_score,gk_form_diff,team_a_recent_starts_stability,team_b_recent_starts_stability,starts_stability_diff,team_a_key_absence_score,team_b_key_absence_score,key_absence_diff,team_a_avg_xg_last5,team_b_avg_xg_last5,xg_diff,team_a_avg_xga_last5,team_b_avg_xga_last5,xga_diff
7562,2018-06-26,FIFA World Cup,group,0,Australia,Peru,49500000.0,26450000.0,23050000.0,2,1816.53,1926.5,-109.97,36,11,25,8,7,1,8.0,5.0,3.0,4.0,2.0,2.0,4.0,3.0,1.0,5.0,5.0,0.0,AFC,CONMEBOL,AFC_vs_CONMEBOL,0.0,7.321554282981818,7.497439201661819,-0.17588491868000045,168.72727272727272,152.63636363636363,16.090909090909093,0.3799956771912738,1.4462902777926134,-1.0662946006013396,3.351063829787234,1.4285714285714286,1.9224924012158053,0.9090909090909091,0.8181818181818182,0.09090909090909083,0.0,0.0,0.0,1.1961114765,1.2757997134999999,-0.07968823699999983,1.288000919,1.491993597,-0.2039926780000001
7563,2018-06-26,FIFA World Cup,group,0,Denmark,France,245800000.0,1020500000.0,-774700000.0,1,1903.03,2060.12,-157.09,12,7,5,9,13,-4,4.0,9.0,-5.0,1.0,3.0,-2.0,3.0,6.0,-3.0,5.0,5.0,0.0,UEFA,UEFA,UEFA_vs_UEFA,1.0,,,,,,,,,,,,,,,,,,,,,,,,
7561,2018-06-26,FIFA World Cup,group,0,Iceland,Croatia,45100000.0,356500000.0,-311400000.0,2,1765.91,1983.07,-217.16,22,20,2,2,12,-10,6.0,8.0,-2.0,11.0,3.0,8.0,-5.0,5.0,-10.0,4.0,5.0,-1.0,UEFA,UEFA,UEFA_vs_UEFA,1.0,7.200778911218182,7.2368409328666665,-0.036062021648484155,149.8181818181818,83.66666666666667,66.15151515151514,1.300501748903369,2.0099989462268044,-0.7094971973234354,2.356020942408377,,,0.7272727272727273,0.18181818181818182,0.5454545454545454,1.0,3.5,-2.5,1.29214323075,1.763088343,-0.4709451122499999,1.6963387873500002,0.9901897703500002,0.706149017
7564,2018-06-26,FIFA World Cup,group,0,Nigeria,Argentina,114650000.0,662500000.0,-547850000.0,2,1769.25,1943.35,-174.09,48,5,43,4,7,-3,4.0,8.0,-4.0,6.0,10.0,-4.0,-2.0,-2.0,0.0,4.0,5.0,-1.0,CAF,CONMEBOL,CAF_vs_CONMEBOL,0.0,7.653673101225454,7.399154786719999,0.2545183145054555,162.45454545454547,118.1,44.35454545454547,2.4044386930922967,1.781389682184778,0.6230490109075189,1.894736842105263,,,1.0,0.5454545454545454,0.4545454545454546,0.0,2.5,-2.5,1.0372404618500002,1.6492880958500002,-0.6120476340000001,1.6233143005,1.43191727325,0.19139702724999985
7566,2018-06-27,FIFA World Cup,group,0,Mexico,Sweden,125300000.0,102750000.0,22550000.0,2,1978.74,1836.86,141.88,15,24,-9,10,5,5,4.0,2.0,2.0,3.0,3.0,0.0,1.0,-1.0,2.0,4.0,4.0,0.0,CONCACAF,UEFA,CONCACAF_vs_UEFA,0.0,,,,,,,,,,,,,,,,,,,,,,,,
7567,2018-06-27,FIFA World Cup,group,0,South Korea,Germany,80875000.0,883000000.0,-802125000.0,0,1730.46,2070.64,-340.17,57,1,56,1,6,-5,2.0,5.0,-3.0,8.0,6.0,2.0,-6.0,-1.0,-5.0,4.0,4.0,0.0,AFC,UEFA,AFC_vs_UEFA,0.0,,,,,,,,,,,,,,,,,,,,,,,,
7565,2018-06-27,FIFA World Cup,group,0,Serbia,Brazil,181500000.0,981000000.0,-799500000.0,2,1812.8,2163.79,-350.99,34,2,32,9,13,-4,9.0,9.0,0.0,4.0,1.0,3.0,5.0,8.0,-3.0,5.0,5.0,0.0,UEFA,CONMEBOL,UEFA_vs_CONMEBOL,0.0,7.520842171280002,7.992616715363638,-0.47177454408363584,152.7,169.36363636363637,-16.663636363636385,1.5235182323721352,1.6427728269655624,-0.11925459459342713,1.875,0.0,1.875,0.7272727272727273,1.0,-0.2727272727272727,1.0,0.0,1.0,1.5730271409999999,2.48147629625,-0.90844915525,1.0766652066,0.31540003315,0.76126517345
7568,2018-06-27,FIFA World Cup,group,0,Switzerland,Costa Rica,218100000.0,34275000.0,183825000.0,1,1961.78,1795.85,165.92,6,23,-17,11,3,8,12.0,4.0,8.0,3.0,9.0,-6.0,9.0,-5.0,14.0,5.0,5.0,0.0,UEFA,CONCACAF,UEFA_vs_CONCACAF,0.0,7.46629037602909,7.001729781548001,0.4645605944810898,159.0,145.4,13.599999999999994,2.4443828300535713,0.11959640660049627,2.324786423453075,1.4136125654450262,2.3076923076923075,-0.8940797422472813,0.8181818181818182,0.7272727272727273,0.09090909090909094,1.0,1.0,0.0,1.0147076704,0.37735756935,0.63735010105,1.510037536,2.5444659012499997,-1.0344283652499997
7571,2018-06-28,FIFA World Cup,group,0,Senegal,Colombia,267250000.0,221500000.0,45750000.0,2,1864.28,1964.39,-100.11,27,16,11,8,8,0,7.0,7.0,0.0,5.0,4.0,1.0,2.0,3.0,-1.0,4.0,4.0,0.0,CAF,,,,7.3449144897777785,8.056553413063998,-0.7116389232862197,82.22222222222223,87.8,-5.577777777777769,2.817286414261069,3.3951361719662336,-0.5778497577051644,0.9574468085106383,1.894736842105263,-0.9372900335946247,0.7272727272727273,0.8181818181818182,-0.09090909090909094,0.0,0.0,0.0,1.4277506340000001,1.3869427573,0.04080787670000019,1.0423233840000001,1.1141978380000002,-0.07187445400000003
7572,2018-06-28,FIFA World Cup,group,0,Japan,Poland,73150000.0,268250000.0,-195100000.0,2,1832.48,1792.78,39.7,61,8,53,7,7,0,8.0,10.0,-2.0,9.0,9.0,0.0,-1.0,1.0,-2.0,4.0,4.0,0.0,AFC,UEFA,AFC_vs_UEFA,0.0,,7.192063875800001,,,129.75,,,0.6399712495238096,,,,,,0.5454545454545454,,,2.5,,,1.0782606110000001,,,1.40734669565,
