season,match_id,match_date,kick_off,stage,stage_display,is_knockout,team_a,team_b,team_a_group,team_b_group,team_a_manager,team_b_manager,team_a_country,team_b_country,team_a_score,team_b_score,scoreline_90m,target_result_90m,stadium,host_country,referee
2018,7548,2018-06-22,12:00:00.000,group,Group Stage,0,Brazil,Costa Rica,E,,Tite,Óscar Ramírez,Brazil,Costa Rica,2,0,2-0,0,Saint-Petersburg Stadium ( Gazprom Arena ),Russia,Björn Kuipers
2018,7549,2018-06-22,15:00:00.000,group,Group Stage,0,Nigeria,Iceland,,,Gernot Rohr,Heimir Hallgrímsson,Nigeria,Iceland,2,0,2-0,0,Volgograd Arena,Russia,Matthew Conger
2018,7550,2018-06-22,18:00:00.000,group,Group Stage,0,Serbia,Switzerland,,,Mladen Krstajić,Vladimir Petković,Serbia,Switzerland,1,2,1-2,2,Rostec Arena,Russia,Felix Brych
2018,7552,2018-06-23,12:00:00.000,group,Group Stage,0,Belgium,Tunisia,,,Roberto Martínez,Nabil Maâloul,Belgium,Tunisia,5,2,5-2,0,Otkritie Bank Arena,Russia,Jair Marrufo
2018,7553,2018-06-23,15:00:00.000,group,Group Stage,0,South Korea,Mexico,F,,Shin Tae-Yong,Juan Carlos Osorio,Korea (South),Mexico,1,2,1-2,2,Rostov Arena,Russia,Milorad Mažić
2018,7551,2018-06-23,18:00:00.000,group,Group Stage,0,Germany,Sweden,,,Joachim Löw,Jan Olof Andersson,Germany,Sweden,2,1,2-1,0,Olimpiyskiy Stadion Fisht,Russia,Szymon Marciniak
2018,7554,2018-06-24,12:00:00.000,group,Group Stage,0,England,Panama,,,Gareth Southgate,Hernán Darío Gómez,England,Panama,6,1,6-1,0,Stadion Nizhny Novgorod (Nizhniy Novgorod),Russia,Ghead Grisha
2018,7556,2018-06-24,15:00:00.000,group,Group Stage,0,Japan,Senegal,,,Akira Nishino,Aliou Cissé,Japan,Senegal,2,2,2-2,1,Ekaterinburg Arena,Russia,Gianluca Rocchi
2018,7555,2018-06-24,18:00:00.000,group,Group Stage,0,Poland,Colombia,,,Adam Nawałka,José Pékerman,Poland,Colombia,0,3,0-3,2,Ak Bars Arena,Russia,César Arturo Ramos Palazuelos
2018,7558,2018-06-25,14:00:00.000,group,Group Stage,0,Uruguay,Russia,A,,Óscar Tabárez,Stanislav Cherchesov,Uruguay,Russia,3,0,3-0,0,Solidarnost Arena,Russia,Malang Diedhiou
2018,7559,2018-06-25,14:00:00.000,group,Group Stage,0,Saudi Arabia,Egypt,,,Pizzi,Héctor Cúper,Saudi Arabia,Egypt,2,1,2-1,0,Volgograd Arena,Russia,Wilmar Alexander Roldán Pérez
2018,7557,2018-06-25,18:00:00.000,group,Group Stage,0,Iran,Portugal,,,Carlos Queiroz,Fernando Santos,"Iran, Islamic Republic of",Portugal,1,1,1-1,1,Mordovia Arena,Russia,Enrique Cáceres
2018,7560,2018-06-25,18:00:00.000,group,Group Stage,0,Spain,Morocco,,,Fernando Hierro,Hervé Renard,Spain,Morocco,2,2,2-2,1,Rostec Arena,Russia,Ravshan Irmatov
2018,7562,2018-06-26,14:00:00.000,group,Group Stage,0,Australia,Peru,,,Lambertus van Marwijk,Ricardo Gareca,Australia,Peru,0,2,0-2,2,Olimpiyskiy Stadion Fisht,Russia,Sergey Karasev
2018,7563,2018-06-26,14:00:00.000,group,Group Stage,0,Denmark,France,,,Åge Hareide,Didier Deschamps,Denmark,France,0,0,0-0,1,Stadion Luzhniki,Russia,Sandro Ricci
2018,7561,2018-06-26,18:00:00.000,group,Group Stage,0,Iceland,Croatia,,,Heimir Hallgrímsson,Zlatko Dalić,Iceland,Croatia,1,2,1-2,2,Rostov Arena,Russia,Antonio Miguel Mateu Lahoz
2018,7564,2018-06-26,18:00:00.000,group,Group Stage,0,Nigeria,Argentina,,,Gernot Rohr,Jorge Sampaoli,Nigeria,Argentina,1,2,1-2,2,Saint-Petersburg Stadium ( Gazprom Arena ),Russia,Cüneyt Çakιr
2018,7566,2018-06-27,14:00:00.000,group,Group Stage,0,Mexico,Sweden,,,Juan Carlos Osorio,Jan Olof Andersson,Mexico,Sweden,0,3,0-3,2,Ekaterinburg Arena,Russia,Néstor Fabián Pitana
2018,7567,2018-06-27,14:00:00.000,group,Group Stage,0,South Korea,Germany,F,,Shin Tae-Yong,Joachim Löw,Korea (South),Germany,2,0,2-0,0,Ak Bars Arena,Russia,Mark Geiger
2018,7565,2018-06-27,18:00:00.000,group,Group Stage,0,Serbia,Brazil,,E,Mladen Krstajić,Tite,Serbia,Brazil,0,2,0-2,2,Otkritie Bank Arena,Russia,Alireza Faghani
2018,7568,2018-06-27,18:00:00.000,group,Group Stage,0,Switzerland,Costa Rica,,,Vladimir Petković,Óscar Ramírez,Switzerland,Costa Rica,2,2,2-2,1,Stadion Nizhny Novgorod (Nizhniy Novgorod),Russia,Clément Turpin
2018,7571,2018-06-28,14:00:00.000,group,Group Stage,0,Senegal,Colombia,,,Aliou Cissé,José Pékerman,Senegal,Colombia,0,1,0-1,2,Solidarnost Arena,Russia,Milorad Mažić
2018,7572,2018-06-28,14:00:00.000,group,Group Stage,0,Japan,Poland,,,Akira Nishino,Adam Nawałka,Japan,Poland,0,1,0-1,2,Volgograd Arena,Russia,Janny Sikazwe
2018,7569,2018-06-28,18:00:00.000,group,Group Stage,0,Panama,Tunisia,,,Hernán Darío Gómez,Nabil Maâloul,Panama,Tunisia,1,2,1-2,2,Mordovia Arena,Russia,Nawaf Abdulla Ghayyath Shukralla
2018,7570,2018-06-28,18:00:00.000,group,Group Stage,0,England,Belgium,,,Gareth Southgate,Roberto Martínez,England,Belgium,0,1,0-1,2,Rostec Arena,Russia,Damir Skomina
2018,7580,2018-06-30,14:00:00.000,round_of_16,Round of 16,1,France,Argentina,,,Didier Deschamps,Jorge Sampaoli,France,Argentina,4,3,4-3,0,Ak Bars Arena,Russia,Alireza Faghani
2018,7579,2018-06-30,18:00:00.000,round_of_16,Round of 16,1,Uruguay,Portugal,,,Óscar Tabárez,Fernando Santos,Uruguay,Portugal,2,1,2-1,0,Olimpiyskiy Stadion Fisht,Russia,César Arturo Ramos Palazuelos
2018,7582,2018-07-01,14:00:00.000,round_of_16,Round of 16,1,Spain,Russia,,,Fernando Hierro,Stanislav Cherchesov,Spain,Russia,1,1,1-1,1,Stadion Luzhniki,Russia,Björn Kuipers
