season,match_id,match_date,kick_off,stage,stage_display,is_knockout,team_a,team_b,team_a_group,team_b_group,team_a_manager,team_b_manager,team_a_country,team_b_country,team_a_score,team_b_score,scoreline_90m,target_result_90m,stadium,host_country,referee
2022,3869220,2022-12-06,17:00:00.000,round_of_16,Round of 16,1,Morocco,Spain,,,Hoalid Regragui,Luis Enrique,Morocco,Spain,0,0,0-0,1,Education City Stadium ,Qatar,Fernando Andrés Rapallini
2022,3869254,2022-12-06,21:00:00.000,round_of_16,Round of 16,1,Portugal,Switzerland,,,Fernando Santos,Murat Yakin,Portugal,Switzerland,6,1,6-1,0,Lusail Stadium,Qatar,César Arturo Ramos Palazuelos
2022,3869420,2022-12-09,17:00:00.000,quarterfinal,Quarter-finals,1,Croatia,Brazil,,,Zlatko Dalić,Telê Santana,Croatia,Brazil,1,1,1-1,1,Education City Stadium ,Qatar,Michael Oliver
2022,3869321,2022-12-09,19:00:00.000,quarterfinal,Quarter-finals,1,Netherlands,Argentina,,,Louis van Gaal,Lionel Sebastián Scaloni,Netherlands,Argentina,2,2,2-2,1,Lusail Stadium,Qatar,Antonio Miguel Mateu Lahoz
2022,3869486,2022-12-10,17:00:00.000,quarterfinal,Quarter-finals,1,Morocco,Portugal,,,Hoalid Regragui,Fernando Santos,Morocco,Portugal,1,0,1-0,0,Al Thumama Stadium,Qatar,Facundo Tello Figueroa
2022,3869354,2022-12-10,21:00:00.000,quarterfinal,Quarter-finals,1,England,France,,,Gareth Southgate,Didier Deschamps,England,France,1,2,1-2,2,Al Bayt Stadium,Qatar,Wilton Pereira Sampaio
2022,3869519,2022-12-13,21:00:00.000,semifinal,Semi-finals,1,Argentina,Croatia,,,Lionel Sebastián Scaloni,Zlatko Dalić,Argentina,Croatia,3,0,3-0,0,Lusail Stadium,Qatar,Daniele Orsato
2022,3869552,2022-12-14,21:00:00.000,semifinal,Semi-finals,1,France,Morocco,,,Didier Deschamps,Hoalid Regragui,France,Morocco,2,0,2-0,0,Al Bayt Stadium,Qatar,César Arturo Ramos Palazuelos
2022,3869684,2022-12-17,17:00:00.000,third_place,3rd Place Final,1,Croatia,Morocco,,,Zlatko Dalić,Walid Regragui,Croatia,Morocco,2,1,2-1,0,Sheikh Khalifa International Stadium,Qatar,Abdulrahman Ibrahim Al Jassim
2022,3869685,2022-12-18,17:00:00.000,final,Final,1,Argentina,France,,,Lionel Sebastián Scaloni,Didier Deschamps,Argentina,France,3,3,3-3,1,Lusail Stadium,Qatar,Szymon Marciniak
